"Hard and Soft Credit : Constituent : JHAS ID","Hard and Soft Credit : Constituent : Date of Most Recent Gift","Hard and Soft Credit : Constituent : Date of Most Recent Pledge"
"14441804","",""
"14442320","4/11/2023",""
"14443950","4/10/2023",""
"14443952","4/10/2023",""
"14443954","4/10/2023",""
"14444184","",""
"14444650","",""
"14445367","",""
"14445393","",""
"14445747","11/20/2024",""
"14446621","",""
"14446834","4/19/2023",""
"14448731","4/20/2023",""
"14448733","4/22/2023",""
"14448735","4/21/2023",""
"14448935","2/22/2025",""
"14448935","2/22/2025",""
"14449023","",""
"14453627","",""
"14453710","4/17/2023",""
"14454046","5/7/2023",""
"14454048","5/7/2023",""
"14454087","4/3/2024",""
"14454087","4/3/2024",""
"14454093","5/7/2023",""
"14464930","2/27/2024",""
"14464930","2/27/2024",""
"14455174","",""
"14455174","",""
"14465898","6/3/2023",""
"14466999","",""
"14473733","3/15/2024",""
"14479019","6/8/2023",""
"14480281","",""
"14483316","6/27/2024",""
"14483316","6/27/2024",""
"14489171","",""
"14489993","2/19/2025","2/19/2025"
"14489996","2/19/2025","2/19/2025"
"14490169","2/28/2024",""
"14490170","2/28/2024",""
"14496033","3/13/2024",""
"14496075","3/13/2024",""
"14497958","3/12/2024",""
"10000020","12/28/2023",""
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000028","3/15/2021","5/28/2009"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000036","7/18/2023","5/20/2014"
"10000112","6/12/2001","4/25/2002"
"10000112","6/12/2001","4/25/2002"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000175","9/19/2014","5/9/2007"
"10000176","10/30/1997","2/4/1989"
"10000178","11/26/2007",""
"10000272","12/22/2014","9/7/1993"
"10000286","11/5/2018",""
"10000286","11/5/2018",""
"10000286","11/5/2018",""
"10000286","11/5/2018",""
"10000286","11/5/2018",""
"10000286","11/5/2018",""
"10000286","11/5/2018",""
"10000295","11/22/2011",""
"10000295","11/22/2011",""
"10000295","11/22/2011",""
"10000323","11/5/2003",""
"10000323","11/5/2003",""
"10000323","11/5/2003",""
"10000323","11/5/2003",""
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000335","12/30/2022","9/15/1987"
"10000365","7/7/2017",""
"10000383","11/17/1997","5/24/1988"
"10000383","11/17/1997","5/24/1988"
"10000383","11/17/1997","5/24/1988"
"10000383","11/17/1997","5/24/1988"
"10000383","11/17/1997","5/24/1988"
"10000383","11/17/1997","5/24/1988"
"10000383","11/17/1997","5/24/1988"
"10000584","8/12/1989","1/24/1991"
"10000584","8/12/1989","1/24/1991"
"10000584","8/12/1989","1/24/1991"
"10000584","8/12/1989","1/24/1991"
"10000584","8/12/1989","1/24/1991"
"10000584","8/12/1989","1/24/1991"
"10000584","8/12/1989","1/24/1991"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000475","11/14/2008","9/7/2009"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000489","3/7/2017","10/20/2014"
"10000503","9/10/1998",""
"10000503","9/10/1998",""
"10000516","8/17/2020","6/2/2016"
"10000540","12/15/2006",""
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
