"Hard and Soft Credit : Constituent : JHAS ID","Hard and Soft Credit : Constituent : Date of Most Recent Gift","Hard and Soft Credit : Constituent : Date of Most Recent Pledge"
"10233933","1/15/2014",""
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233934","10/12/2023","2/28/2009"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233953","8/21/2023","9/26/1995"
"10233958","","2/12/1996"
"10233958","","2/12/1996"
"10233958","","2/12/1996"
"10233958","","2/12/1996"
"10233958","","2/12/1996"
"10233958","","2/12/1996"
"10233959","11/17/2005","10/23/1984"
"10233959","11/17/2005","10/23/1984"
"10233959","11/17/2005","10/23/1984"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233960","5/18/2004","10/19/1998"
"10233961","","10/6/1992"
"10233961","","10/6/1992"
"10233961","","10/6/1992"
"10233961","","10/6/1992"
"10233961","","10/6/1992"
"10233961","","10/6/1992"
"10233838","","3/2/1992"
"10233838","","3/2/1992"
"10233839","6/26/2001",""
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233840","11/15/2023","2/27/2009"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233841","7/6/2015","9/22/2013"
"10233842","12/29/2006",""
"10233842","12/29/2006",""
"10233842","12/29/2006",""
"10233842","12/29/2006",""
"10233972","","11/26/1990"
"10233972","","11/26/1990"
"10233972","","11/26/1990"
"10233972","","11/26/1990"
"10233972","","11/26/1990"
"10233972","","11/26/1990"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233973","9/29/1997","10/2/1995"
"10233976","12/8/2015",""
"10233976","12/8/2015",""
"10233978","","10/26/1987"
"10233978","","10/26/1987"
"10233978","","10/26/1987"
"10233978","","10/26/1987"
"10233978","","10/26/1987"
"10233978","","10/26/1987"
"10233985","1/16/2025",""
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10233993","10/12/2001","7/31/1990"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10234007","11/26/2012","4/15/2010"
"10233810","11/10/2023","10/3/1988"
"10233810","11/10/2023","10/3/1988"
"10233811","1/22/2018",""
"10233811","1/22/2018",""
"10233815","","10/17/1985"
"10233816","11/25/2011",""
"10233816","11/25/2011",""
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233817","7/25/2018","8/16/2021"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233818","3/19/2007","10/16/2002"
"10233819","4/14/1994","10/17/1985"
"10233819","4/14/1994","10/17/1985"
"10233819","4/14/1994","10/17/1985"
"10233819","4/14/1994","10/17/1985"
"10233824","","3/2/1992"
"10233824","","3/2/1992"
"10233824","","3/2/1992"
"10233824","","3/2/1992"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346009","9/18/2007","10/11/2011"
"10346010","11/21/2023",""
"10346010","11/21/2023",""
"10346010","11/21/2023",""
"10346010","11/21/2023",""
"10346012","3/11/2006","10/27/1987"
"10346012","3/11/2006","10/27/1987"
"10346012","3/11/2006","10/27/1987"
"10346012","3/11/2006","10/27/1987"
"10346014","1/15/2003","5/27/2004"
"10346014","1/15/2003","5/27/2004"
"10346014","1/15/2003","5/27/2004"
"10346014","1/15/2003","5/27/2004"
"10346016","12/20/2018",""
"10346017","","10/25/1989"
"10346017","","10/25/1989"
"10346017","","10/25/1989"
"10346017","","10/25/1989"
"10346017","","10/25/1989"
"10346017","","10/25/1989"
"10346025","","10/8/1991"
"10346025","","10/8/1991"
"10346025","","10/8/1991"
"10346025","","10/8/1991"
"10346025","","10/8/1991"
"10346025","","10/8/1991"
"10346026","10/13/1999","10/23/1984"
"10346026","10/13/1999","10/23/1984"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346027","5/28/1999","11/18/1997"
"10346030","","2/20/1990"
"10346030","","2/20/1990"
"10346030","","2/20/1990"
"10346030","","2/20/1990"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346031","12/5/2024","12/4/2015"
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346033","1/9/2020",""
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346035","4/14/1994","9/26/1995"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346036","2/3/2021","2/27/2018"
"10346049","","9/28/1988"
"10346049","","9/28/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346055","1/10/1998","10/10/1988"
"10346056","2/27/1994",""
"10346056","2/27/1994",""
"10346056","2/27/1994",""
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346057","3/26/1995","10/13/1993"
"10346058","","9/9/1991"
"10346058","","9/9/1991"
"10346066","12/20/2016","9/6/1990"
"10346066","12/20/2016","9/6/1990"
"10346066","12/20/2016","9/6/1990"
"10346066","12/20/2016","9/6/1990"
"10346066","12/20/2016","9/6/1990"
"10346066","12/20/2016","9/6/1990"
"10346067","","4/13/1988"
"10346067","","4/13/1988"
"10346070","12/31/1997","10/5/1992"
"10346070","12/31/1997","10/5/1992"
"10346070","12/31/1997","10/5/1992"
"10346070","12/31/1997","10/5/1992"
"10346070","12/31/1997","10/5/1992"
"10346070","12/31/1997","10/5/1992"
"10346070","12/31/1997","10/5/1992"
"10346071","","10/17/1985"
"10346071","","10/17/1985"
"10346071","","10/17/1985"
"10346071","","10/17/1985"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346089","12/17/1996","4/10/1991"
"10346091","10/25/1999",""
"10346091","10/25/1999",""
"10346095","6/13/2006",""
"10346107","12/22/1994",""
"10346107","12/22/1994",""
"10346107","12/22/1994",""
"10346108","5/10/1994","9/25/1994"
"10346108","5/10/1994","9/25/1994"
"10346108","5/10/1994","9/25/1994"
"10346109","","10/26/1987"
"10346109","","10/26/1987"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346112","5/23/2018","4/15/2004"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346113","5/17/2016","12/29/2014"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346114","11/25/2024","2/17/2009"
"10346123","1/5/2016","2/4/2019"
"10346123","1/5/2016","2/4/2019"
"10346127","6/24/2009","10/16/1989"
"10346127","6/24/2009","10/16/1989"
"10346127","6/24/2009","10/16/1989"
"10346127","6/24/2009","10/16/1989"
"10346127","6/24/2009","10/16/1989"
"10346127","6/24/2009","10/16/1989"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346128","5/23/2019","1/31/2012"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346133","12/27/1997","10/20/1998"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346134","1/28/2009","11/5/2006"
"10346136","7/6/2002",""
"10346136","7/6/2002",""
"10346136","7/6/2002",""
"10346136","7/6/2002",""
