"Hard and Soft Credit : Constituent : JHAS ID","Credit Amount","Fiscal Years"
"10264046","25.00","Prior FYs"
"13542548","23.00","This FY"
"10230358","15.00","Prior FYs"
"10264046","25.00","Prior FYs"
"13542548","24.00","This FY"
"10230358","15.00","Prior FYs"
"10264047","10.00","Prior FYs"
"13542549","20.41","Prior FYs"
"10230358","15.00","Prior FYs"
"10264047","15.00","Prior FYs"
"13542549","19.00","Prior FYs"
"10230358","15.00","Prior FYs"
"10264047","10.00","Prior FYs"
"13542639","13.00","Prior FYs"
"10230358","15.00","Prior FYs"
"10264047","15.00","Prior FYs"
"13542856","38.00","Prior FYs"
"10230358","15.00","Prior FYs"
"10264059","25.00","Prior FYs"
"13542856","13.00","Prior FYs"
"10230358","15.00","Prior FYs"
"10264059","25.00","Prior FYs"
"13542856","17.00","Prior FYs"
"10230358","15.00","Prior FYs"
"10264108","50.00","Prior FYs"
"13542856","11.00","Prior FYs"
"10230360","10.00","Prior FYs"
"10264108","50.00","Prior FYs"
"13542856","15.41","Prior FYs"
"10230361","30.00","Prior FYs"
"10264108","50.00","Prior FYs"
"13542857","38.00","Prior FYs"
"10230361","20.00","Prior FYs"
"10264148","10.00","Prior FYs"
"13542857","13.00","Prior FYs"
"10230361","20.00","Prior FYs"
"10264188","100.00","Prior FYs"
"13542857","17.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","250.00","Prior FYs"
"13542857","11.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","250.00","Prior FYs"
"13542857","15.41","Prior FYs"
"10230361","30.00","Prior FYs"
"10264188","100.00","Prior FYs"
"13543779","36.00","Prior FYs"
"10230361","20.00","Prior FYs"
"10264188","250.00","Prior FYs"
"13544086","10000.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","2500.00","Prior FYs"
"13544086","15000.00","Prior FYs"
"10230361","20.00","Prior FYs"
"10264188","250.00","Prior FYs"
"13544086","10000.00","This FY"
"10230361","40.00","Prior FYs"
"10264188","125.00","Prior FYs"
"13551065","100.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","250.00","Prior FYs"
"13551213","264.00","This FY"
"10230361","50.00","Prior FYs"
"10264188","2500.00","Prior FYs"
"13553958","100.00","Prior FYs"
"10230361","50.00","Prior FYs"
"10264188","50000.00","Prior FYs"
"13554664","100.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","25000.00","Prior FYs"
"13555458","100.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","125.00","Prior FYs"
"13556510","5.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264188","50000.00","Prior FYs"
"13556510","50.00","Prior FYs"
"10230361","45.00","Prior FYs"
"10264188","25000.00","Prior FYs"
"13556545","10.00","Prior FYs"
"10230361","50.00","Prior FYs"
"10264200","100.00","Prior FYs"
"13556652","100.00","Prior FYs"
"10230361","30.00","Prior FYs"
"10264221","25.00","Prior FYs"
"13556734","15.00","Prior FYs"
"10230361","35.00","Prior FYs"
"10264221","25.00","Prior FYs"
"13556735","100.00","Prior FYs"
"10230361","15.00","Prior FYs"
"10264241","50.00","Prior FYs"
"13557160","10.00","Prior FYs"
"10230361","20.00","Prior FYs"
"10264241","50.00","Prior FYs"
"13557161","10.00","Prior FYs"
"10230361","25.00","Prior FYs"
"10264245","25.00","Prior FYs"
"13557162","25.00","Prior FYs"
"10230363","200.00","Prior FYs"
"10264245","25.00","Prior FYs"
"13557200","5.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264258","50.00","Prior FYs"
"13557202","20.00","Prior FYs"
"10230363","200.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13559165","100.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","15.00","Prior FYs"
"13560131","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13560131","25.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13560315","25.00","Prior FYs"
"10230363","150.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13560315","50.00","This FY"
"10230363","500.00","Prior FYs"
"10264264","15.00","Prior FYs"
"13560340","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13560383","25.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","15.00","Prior FYs"
"13560383","50.00","This FY"
"10230363","100.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13560385","100.00","Prior FYs"
"10230363","50.00","Prior FYs"
"10264264","5.00","Prior FYs"
"13560465","10.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","20.00","Prior FYs"
"13560481","25.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","15.00","Prior FYs"
"13560598","500.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","5.00","Prior FYs"
"13560993","500.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","5.00","Prior FYs"
"13560997","250.00","Prior FYs"
"10230363","50.00","Prior FYs"
"10264264","15.00","Prior FYs"
"13561156","250.00","Prior FYs"
"10230363","250.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13561156","100.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13561336","18.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","15.00","Prior FYs"
"13561492","5000.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","10.00","Prior FYs"
"13561492","7000.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264264","5.00","Prior FYs"
"13561910","18.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264268","50.00","Prior FYs"
"13562093","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264268","50.00","Prior FYs"
"13562093","11.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264268","50.00","Prior FYs"
"13562093","11.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264268","50.00","Prior FYs"
"13562093","50.00","This FY"
"10230363","100.00","Prior FYs"
"10264268","20.00","Prior FYs"
"13562508","200.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264268","15.00","Prior FYs"
"13562508","250.00","This FY"
"10230363","100.00","Prior FYs"
"10264268","50.00","Prior FYs"
"13562732","200.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264268","45.00","Prior FYs"
"13562732","250.00","This FY"
"10230363","150.00","Prior FYs"
"10264281","25.00","Prior FYs"
"13563326","20.41","Prior FYs"
"10230363","500.00","Prior FYs"
"10264281","25.00","Prior FYs"
"13563443","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264299","25.00","Prior FYs"
"13564224","50.00","Prior FYs"
"10230363","200.00","Prior FYs"
"10264306","100.00","Prior FYs"
"13564246","250.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264306","125.00","Prior FYs"
"13564324","100.00","Prior FYs"
"10230363","200.00","Prior FYs"
"10264306","100.00","Prior FYs"
"13564470","100.00","Prior FYs"
"10230363","250.00","Prior FYs"
"10264306","100.00","Prior FYs"
"13564544","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264306","100.00","Prior FYs"
"13564552","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264306","125.00","Prior FYs"
"13564555","50.00","Prior FYs"
"10230363","50.00","Prior FYs"
"10264306","100.00","Prior FYs"
"13564731","18.00","Prior FYs"
"10230363","50.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13564765","50.00","Prior FYs"
"10230363","25.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13564969","50.00","Prior FYs"
"10230363","500.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13564970","50.00","Prior FYs"
"10230363","500.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13564982","50.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264307","25.00","Prior FYs"
