"Hard and Soft Credit : Constituent : JHAS ID","Credit Amount","Fiscal Years"
"10188535","50.00","Prior FYs"
"10347004","200.00","Prior FYs"
"10086887","25.00","Prior FYs"
"10188535","55.00","Prior FYs"
"10347004","250.00","Prior FYs"
"10086887","25.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347004","300.00","Prior FYs"
"10086887","25.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347004","250.00","Prior FYs"
"10086887","100.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347004","400.00","Prior FYs"
"10086889","120.00","Prior FYs"
"10188535","50.00","Prior FYs"
"10347004","250.00","Prior FYs"
"10086895","20.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347004","250.00","Prior FYs"
"10086895","20.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347004","400.00","Prior FYs"
"10086895","25.00","Prior FYs"
"10188535","55.00","Prior FYs"
"10347004","260.00","Prior FYs"
"10086895","25.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347004","260.00","Prior FYs"
"10086895","25.00","Prior FYs"
"10188535","50.00","Prior FYs"
"10347004","400.00","Prior FYs"
"10086895","25.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347004","41.00","Prior FYs"
"10086895","25.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347004","350.00","This FY"
"10086895","25.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347004","350.00","This FY"
"10086895","50.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347005","25.00","Prior FYs"
"10086895","20.00","Prior FYs"
"10188535","50.00","Prior FYs"
"10347005","25.00","Prior FYs"
"10086895","50.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347005","50.00","Prior FYs"
"10086895","30.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347019","50.00","Prior FYs"
"10086895","50.00","Prior FYs"
"10188535","50.00","Prior FYs"
"10347020","1000.00","Prior FYs"
"10086895","50.00","Prior FYs"
"10188535","75.00","Prior FYs"
"10347020","25.00","Prior FYs"
"10086895","40.00","Prior FYs"
"10188535","25.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086895","50.00","Prior FYs"
"10188535","25.00","Prior FYs"
"10347020","25.00","Prior FYs"
"10086895","40.00","Prior FYs"
"10188535","500.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086898","75.00","Prior FYs"
"10188535","500.00","Prior FYs"
"10347020","200.00","Prior FYs"
"10086898","50.00","Prior FYs"
"10188535","250.00","Prior FYs"
"10347020","200.00","Prior FYs"
"10086898","35.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","200.00","Prior FYs"
"10086898","15.41","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","200.00","Prior FYs"
"10086898","15.41","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","200.00","Prior FYs"
"10086898","15.41","Prior FYs"
"10188535","1000.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086898","15.41","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188535","500.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","25.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","110.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188535","100.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","20.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","137.50","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","75.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","110.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","25.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","35.00","Prior FYs"
"10347020","50.00","Prior FYs"
"10086912","50.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","25.00","Prior FYs"
"10086912","100.00","Prior FYs"
"10188537","20.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","125.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347020","100.00","Prior FYs"
"10086912","250.00","Prior FYs"
"10188537","25.00","Prior FYs"
"10347058","10.00","Prior FYs"
"10086912","137.50","Prior FYs"
"10188537","35.00","Prior FYs"
"10347058","10.00","Prior FYs"
"10086967","15.00","Prior FYs"
"10188537","20.00","Prior FYs"
"10347058","10.00","Prior FYs"
"10086967","10.00","Prior FYs"
"10188539","20.00","Prior FYs"
"10347060","500.00","Prior FYs"
"10086991","50.00","Prior FYs"
"10188539","20.00","Prior FYs"
"10347060","200.00","Prior FYs"
"10086994","50.00","Prior FYs"
"10188540","50.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","50.00","Prior FYs"
"10188540","20.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","150.00","Prior FYs"
"10188540","20.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","50.00","Prior FYs"
"10188540","25.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","50.00","Prior FYs"
"10188540","25.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","50.00","Prior FYs"
"10188540","50.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","50.00","Prior FYs"
"10188540","20.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","50.00","Prior FYs"
"10188540","20.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087003","150.00","Prior FYs"
"10188540","25.00","Prior FYs"
"10347060","200.00","Prior FYs"
"10087039","20.00","Prior FYs"
"10188540","25.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087039","20.00","Prior FYs"
"10188540","20.00","Prior FYs"
"10347060","500.00","Prior FYs"
"10087056","25.00","Prior FYs"
"10188542","103549.43","Prior FYs"
"10347060","100.00","Prior FYs"
"10087079","100.00","Prior FYs"
"10188542","103549.43","Prior FYs"
"10347060","100.00","Prior FYs"
"10087079","100.00","Prior FYs"
"10188543","55324.11","Prior FYs"
"10347060","100.00","Prior FYs"
"10087079","100.00","Prior FYs"
"10188543","55324.11","Prior FYs"
"10347060","500.00","Prior FYs"
"10087079","100.00","Prior FYs"
"10188546","25.00","Prior FYs"
"10347060","500.00","Prior FYs"
"10087079","250.00","Prior FYs"
"10188546","50.00","Prior FYs"
"10347060","1000.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188546","50.00","Prior FYs"
"10347060","1000.00","Prior FYs"
"10087093","50.00","Prior FYs"
"10188546","25.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188546","50.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188546","20.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188546","40.00","Prior FYs"
"10347060","100.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188546","50.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188546","11.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188547","25.00","Prior FYs"
"10347116","25.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188547","25.00","Prior FYs"
"10347116","25.00","Prior FYs"
"10087093","50.00","Prior FYs"
"10188548","35.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087093","50.00","Prior FYs"
"10188548","35.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087093","100.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087130","50.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087130","50.00","Prior FYs"
"10188548","35.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087141","100.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","75.00","Prior FYs"
"10087143","30.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","75.00","Prior FYs"
"10087143","25.00","Prior FYs"
"10188548","35.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087143","100.00","Prior FYs"
"10188548","35.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087143","150.00","Prior FYs"
"10188548","35.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087143","30.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087143","100.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087143","150.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087147","25.00","Prior FYs"
"10188548","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087147","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","110.00","Prior FYs"
"10087148","25.00","Prior FYs"
"10188549","100.00","Prior FYs"
"10347116","150.00","Prior FYs"
"10087148","25.00","Prior FYs"
"10188549","35.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087150","10.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","125.00","Prior FYs"
"10087150","10.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","40.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","40.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","10.00","Prior FYs"
"10188549","35.00","Prior FYs"
"10347116","100.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","100.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087168","20.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087168","15.00","Prior FYs"
"10188549","25.00","Prior FYs"
"10347116","75.00","Prior FYs"
"10087168","40.00","Prior FYs"
"10188549","50.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087168","10.00","Prior FYs"
"10188549","50.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087168","15.00","Prior FYs"
"10188549","100.00","Prior FYs"
"10347116","50.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347116","25.00","This FY"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347141","150.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347143","50.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347143","50.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","20.00","Prior FYs"
"10188550","25.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","40.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","60.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","40.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","20.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","50.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","20.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","60.00","Prior FYs"
"10087168","15.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","30.00","Prior FYs"
"10087168","30.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","25.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087168","40.00","Prior FYs"
"10188550","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087200","60.00","Prior FYs"
"10188551","50.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","50.00","Prior FYs"
"10347156","50.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347156","100.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347156","25.00","Prior FYs"
"10087200","60.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347156","30.00","Prior FYs"
"10087200","100.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087200","120.00","Prior FYs"
"10188551","50.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087200","25.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087200","100.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087200","500.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087200","50.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188551","50.00","Prior FYs"
"10347161","10.00","Prior FYs"
"10087211","35.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347242","25.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347242","50.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188551","100.00","Prior FYs"
"10347242","170.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347242","25.00","Prior FYs"
"10087211","60.00","Prior FYs"
"10188555","30.00","Prior FYs"
"10347354","10.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","20.00","Prior FYs"
"10347354","10.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","100.00","Prior FYs"
"10347355","28.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347383","70.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","60.00","Prior FYs"
"10347408","25.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","45.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","100.00","Prior FYs"
"10087211","100.00","Prior FYs"
"10188555","100.00","Prior FYs"
"10347442","30.00","Prior FYs"
"10087211","60.00","Prior FYs"
"10188555","10.00","Prior FYs"
"10347442","250.00","Prior FYs"
"10087211","35.00","Prior FYs"
"10188555","40.00","Prior FYs"
"10347442","300.00","Prior FYs"
"10087211","15.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087211","24.00","Prior FYs"
"10188555","20.00","Prior FYs"
"10347442","100.00","Prior FYs"
"10087212","25.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","100.00","Prior FYs"
"10087212","25.00","Prior FYs"
"10188555","45.00","Prior FYs"
"10347442","1800.00","Prior FYs"
"10087212","15.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","500.00","Prior FYs"
"10087213","50.00","Prior FYs"
"10188555","60.00","Prior FYs"
"10347442","500.00","Prior FYs"
"10087226","20.00","Prior FYs"
"10188555","100.00","Prior FYs"
"10347442","500.00","Prior FYs"
"10087226","20.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","300.00","Prior FYs"
"10087229","25.00","Prior FYs"
"10188555","100.00","Prior FYs"
"10347442","50.00","Prior FYs"
"10087229","20.00","Prior FYs"
"10188555","20.00","Prior FYs"
"10347442","500.00","Prior FYs"
"10087229","25.00","Prior FYs"
"10188555","40.00","Prior FYs"
"10347442","70.00","Prior FYs"
"10087229","20.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","120.00","Prior FYs"
"10087229","20.00","Prior FYs"
"10188555","45.00","Prior FYs"
"10347442","50.00","Prior FYs"
"10087229","50.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087229","75.00","Prior FYs"
"10188555","30.00","Prior FYs"
"10347442","50.00","Prior FYs"
"10087229","100.00","Prior FYs"
"10188555","45.00","Prior FYs"
"10347442","40.00","Prior FYs"
"10087229","100.00","Prior FYs"
"10188555","10.00","Prior FYs"
"10347442","100.00","Prior FYs"
"10087229","100.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","100.00","Prior FYs"
"10087229","100.00","Prior FYs"
"10188555","20.00","Prior FYs"
"10347442","50.00","Prior FYs"
"10087229","38.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","50.00","Prior FYs"
"10087250","75.00","Prior FYs"
"10188555","20.00","Prior FYs"
"10347442","44652.58","Prior FYs"
"10087250","75.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","200.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","20.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188555","45.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","35.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","50.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","20.00","Prior FYs"
"10188555","30.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","60.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","85.00","Prior FYs"
"10347442","100.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188555","85.00","Prior FYs"
"10347442","1000.00","Prior FYs"
"10087254","20.00","Prior FYs"
"10188556","20.00","Prior FYs"
"10347517","45.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188556","25.00","Prior FYs"
"10347526","8500.00","Prior FYs"
"10087254","20.00","Prior FYs"
"10188556","25.00","Prior FYs"
"10347557","10.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188556","25.00","Prior FYs"
"10347557","20.00","Prior FYs"
"10087254","40.00","Prior FYs"
"10188556","25.00","Prior FYs"
"10347557","15.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188557","150.00","Prior FYs"
"10347557","10.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347557","15.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347557","10.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347571","50.00","Prior FYs"
"10087254","30.00","Prior FYs"
"10188557","150.00","Prior FYs"
"10347571","50.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347571","50.00","Prior FYs"
"10087254","50.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347598","100.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188557","25.00","Prior FYs"
"10347602","100.00","Prior FYs"
"10087254","25.00","Prior FYs"
"10188557","25.00","Prior FYs"
"10347606","1000.00","Prior FYs"
"10087291","50.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","2500.00","Prior FYs"
"10087291","50.00","Prior FYs"
"10188557","250.00","Prior FYs"
"10347606","2500.00","Prior FYs"
"10087291","25.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","2500.00","Prior FYs"
"10087291","50.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","2500.00","Prior FYs"
"10087291","50.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","1000.00","Prior FYs"
"10087291","50.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","1000.00","Prior FYs"
"10087291","100.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","1000.00","Prior FYs"
"10087291","200.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347606","150.00","Prior FYs"
"10087291","100.00","Prior FYs"
"10188557","100.00","Prior FYs"
"10347645","200.00","Prior FYs"
"10087291","100.00","Prior FYs"
"10188557","150.00","Prior FYs"
"10347645","200.00","Prior FYs"
"10087291","200.00","Prior FYs"
"10188557","250.00","Prior FYs"
"10347645","200.00","Prior FYs"
"10087291","200.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347645","200.00","Prior FYs"
"10087302","20.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347645","200.00","Prior FYs"
"10087302","20.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347645","200.00","Prior FYs"
"10087309","350.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347645","100.00","Prior FYs"
"10087379","3000.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347649","10.00","Prior FYs"
"10087379","500.00","Prior FYs"
"10188557","25.00","Prior FYs"
"10347650","25.00","Prior FYs"
"10087379","500.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347650","25.00","Prior FYs"
"10087379","3000.00","Prior FYs"
"10188557","25.00","Prior FYs"
"10347654","25.00","Prior FYs"
"10087379","100.00","Prior FYs"
"10188557","30.00","Prior FYs"
"10347654","15.00","Prior FYs"
"10087379","105.00","Prior FYs"
"10188557","150.00","Prior FYs"
"10347700","100.00","Prior FYs"
"10087379","250.00","Prior FYs"
"10188557","150.00","Prior FYs"
"10347700","20.00","Prior FYs"
"10087379","500.00","Prior FYs"
"10188557","250.00","Prior FYs"
"10347700","25.00","Prior FYs"
"10087379","75.60","Prior FYs"
"10188557","120.00","Prior FYs"
"10347708","500.00","Prior FYs"
"10087379","100.00","Prior FYs"
"10188557","6500.00","Prior FYs"
"10347708","200.00","Prior FYs"
"10087379","2600.00","Prior FYs"
"10188557","50.00","Prior FYs"
"10347708","50.00","Prior FYs"
"10087379","25000.00","Prior FYs"
"10188603","25.00","Prior FYs"
"10347708","45.00","Prior FYs"
"10087399","30.00","Prior FYs"
"10188603","30.00","Prior FYs"
"10347708","2000.00","Prior FYs"
"10087399","25.00","Prior FYs"
"10188603","30.00","Prior FYs"
"10347708","500.00","Prior FYs"
"10087399","20.00","Prior FYs"
"10188603","25.00","Prior FYs"
"10347708","1000.00","Prior FYs"
"10087399","30.00","Prior FYs"
"10188603","50.00","Prior FYs"
"10347708","8600.00","Prior FYs"
"10087399","25.00","Prior FYs"
"10188603","25.00","Prior FYs"
"10347708","1000.00","Prior FYs"
"10087399","30.00","Prior FYs"
"10188603","100.00","Prior FYs"
"10347708","1000.00","Prior FYs"
"10087399","30.00","Prior FYs"
"10188604","225.00","Prior FYs"
"10347708","500.00","Prior FYs"
"10087399","20.00","Prior FYs"
"10188604","21000.00","Prior FYs"
"10347708","500.00","Prior FYs"
"10087399","25.00","Prior FYs"
"10188604","50.00","Prior FYs"
"10347708","1000.00","Prior FYs"
"10087399","40.00","Prior FYs"
"10188604","5000.00","Prior FYs"
"10347708","500.00","Prior FYs"
"10087399","30.00","Prior FYs"
"10188604","175.00","Prior FYs"
"10347709","2500.00","Prior FYs"
"10087399","35.00","Prior FYs"
"10188604","5000.00","Prior FYs"
"10347717","10.00","Prior FYs"
"10087399","40.00","Prior FYs"
"10188604","5000.00","Prior FYs"
"10347717","20.00","Prior FYs"
"10087399","30.00","Prior FYs"
"10188604","5000.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087399","35.00","Prior FYs"
"10188604","1000.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","50.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","50.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347717","10.00","Prior FYs"
"10087411","50.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","500.00","Prior FYs"
"10347717","10.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347717","10.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","500.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","500.00","Prior FYs"
"10347717","20.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","500.00","Prior FYs"
"10347717","25.00","Prior FYs"
"10087411","25.00","Prior FYs"
"10188604","1000.00","Prior FYs"
"10347717","20.00","Prior FYs"
"10087418","100.00","Prior FYs"
"10188604","150.00","Prior FYs"
"10347747","84.00","Prior FYs"
"10087418","50.00","Prior FYs"
"10188604","1000.00","Prior FYs"
"10347793","1000.00","Prior FYs"
"10087418","100.00","Prior FYs"
"10188604","100.00","Prior FYs"
"10347793","10.00","Prior FYs"
"10087418","50.00","Prior FYs"
"10188604","2000.00","Prior FYs"
"10347793","10.00","Prior FYs"
