ZIP,CBSA,CBSA Title,State,Locale
07036,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07039,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07039,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07040,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07040,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07041,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07041,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07042,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07042,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07043,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07043,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07044,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07044,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07045,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07045,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07046,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07046,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07047,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07047,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07050,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07050,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07051,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07051,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07052,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07052,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07054,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07054,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07055,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07055,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07057,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07057,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07058,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07058,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07059,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07059,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07060,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07060,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07061,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07061,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07062,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07062,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07063,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07063,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07064,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07064,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07065,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07065,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07066,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07066,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07067,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07067,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07068,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07068,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07069,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07069,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07070,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07070,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07071,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07071,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07072,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07072,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07073,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07073,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07074,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07074,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07075,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07075,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07076,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07076,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07077,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07077,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07078,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07078,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07079,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07079,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07080,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07080,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07081,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07081,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07082,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07082,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07083,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07083,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07086,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07086,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07087,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07087,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07088,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07088,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07090,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07090,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07091,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07091,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07092,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07092,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07093,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07093,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07094,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07094,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07095,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07095,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07096,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07096,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07097,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07097,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07099,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07099,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07101,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07101,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07102,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07102,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07103,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07103,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07104,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07104,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07105,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07105,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07106,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07106,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07107,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07107,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07108,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07108,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07109,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07109,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07110,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07110,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07111,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07111,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07112,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07112,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07114,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07114,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07175,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07175,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07201,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07201,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07202,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07202,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07203,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07203,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07204,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07204,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07205,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07205,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07206,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07206,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07207,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07207,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07208,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07208,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07302,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07302,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07303,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07303,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07304,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07304,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07305,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07305,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07306,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07306,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07307,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07307,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07310,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07310,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07311,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07311,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07399,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
