CBSA,ZIP,Locale,State,CBSA Title
41860,94915,San Rafael,CA,"San Francisco-Oakland-Berkeley, CA"
NULL,96538,FPO,AP,NULL
26580,25524,Harts,WV,"Huntington-Ashland, WV-KY-OH"
NULL,03585,Lisbon,NH,NULL
34820,29576,Garden City,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
40580,27856,Nashville,NC,"Rocky Mount, NC"
26620,35808,Huntsville,AL,"Huntsville, AL"
28740,12495,Willow,NY,"Kingston, NY"
47900,20722,Colmar Manor,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
44300,16820,Aaronsburg,PA,"State College, PA"
16980,60441,Homer Glen,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
47900,20134,Hillsboro,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
NULL,09842,DPO,AE,NULL
47260,23304,Battery Park,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
NULL,30552,Lakemont,GA,NULL
33460,55040,Isanti,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
34820,29576,Murrells Inlt,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
22180,28356,Linden,NC,"Fayetteville, NC"
NULL,28623,Ennice,NC,NULL
30380,17075,Newton Hamilton,PA,"Lewistown, PA"
NULL,21650,Massey,MD,NULL
37980,19351,Lewisville,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19820,48184,Canton,MI,"Detroit-Warren-Dearborn, MI"
26580,25570,Wayne,WV,"Huntington-Ashland, WV-KY-OH"
14460,03887,Middleton,NH,"Boston-Cambridge-Newton, MA-NH"
37980,08009,Tansboro,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
NULL,52147,Hawkeye,IA,NULL
35620,07828,Mount Olive,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
12580,21104,Henryton,MD,"Baltimore-Columbia-Towson, MD"
37980,19046,Fox Chase Manor,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
30940,40769,Williamsburg,KY,"London, KY"
16620,25113,Ivydale,WV,"Charleston, WV"
17460,44022,Orange,OH,"Cleveland-Elyria, OH"
NULL,31779,Pelham,GA,NULL
41980,00926,Mans de Villanova,PR,"San Juan-Bayam�n-Caguas, PR"
43740,15424,Confluence,PA,"Somerset, PA"
19940,61031,Franklin Grove,IL,"Dixon, IL"
20500,27517,chapel hill,NC,"Durham-Chapel Hill, NC"
40140,92377,Rialto,CA,"Riverside-San Bernardino-Ontario, CA"
33100,33024,Cooper City,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
25500,22840,Mcgaheysville,VA,"Harrisonburg, VA"
20260,55720,CLOQUET,MN,"Duluth, MN-WI"
23540,32610,gainesville,FL,"Gainesville, FL"
26460,12517,Copake Falls,NY,"Hudson, NY"
35620,10024,NEW YORK,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,01373,S Deerfield,MA,NULL
14460,02467,Boston,MA,"Boston-Cambridge-Newton, MA-NH"
16300,52349,Vinton,IA,"Cedar Rapids, IA"
38220,71613,Pine Bluff,AR,"Pine Bluff, AR"
35840,34201,University Pk,FL,"North Port-Sarasota-Bradenton, FL"
12580,21045,"Columbia ",MD,"Baltimore-Columbia-Towson, MD"
35620,11743,"Huntington ",NY,"New York-Newark-Jersey City, NY-NJ-PA"
28060,59912,Columbia Falls,MT,"Kalispell, MT"
42200,93438,Lompoc,CA,"Santa Maria-Santa Barbara, CA"
45660,44836,Green Springs,OH,"Tiffin, OH"
NULL,99547,Atka,AK,NULL
40220,24005,Roanoke,VA,"Roanoke, VA"
20260,55724,Cotton,MN,"Duluth, MN-WI"
19180,60942,Hoopeston,IL,"Danville, IL"
41980,00911,Santurce,PR,"San Juan-Bayam�n-Caguas, PR"
46300,83328,Filer,ID,"Twin Falls, ID"
NULL,09154,APO,AE,NULL
35620,10153,New York City,NY,"New York-Newark-Jersey City, NY-NJ-PA"
10140,98562,Moclips,WA,"Aberdeen, WA"
21060,40159,Radcliff,KY,"Elizabethtown-Fort Knox, KY"
45060,13090,Lvrpool,NY,"Syracuse, NY"
30980,75605,Greggton,TX,"Longview, TX"
19100,75141,Hutchins,TX,"Dallas-Fort Worth-Arlington, TX"
NULL,83522,Cottonwood,ID,NULL
NULL,52339,Tama,IA,NULL
35620,10553,Mt Vernon,NY,"New York-Newark-Jersey City, NY-NJ-PA"
